r,radwave
3.088,-0.001756
3.091,-0.00175
3.094,-0.001744
3.097,-0.001738
3.1,-0.001732
3.103,-0.001727
3.106,-0.001721
3.109,-0.001715
3.112,-0.001709
3.115,-0.001703
3.118,-0.001698
3.121,-0.001692
3.124,-0.001686
3.127,-0.001681
3.13,-0.001675
3.133,-0.001669
3.136,-0.001664
3.139,-0.001658
3.142,-0.001652
3.145,-0.001647
3.148,-0.001641
3.151,-0.001636
3.154,-0.00163
3.157,-0.001625
3.16,-0.001619
3.163,-0.001614
3.166,-0.001608
3.169,-0.001603
3.172,-0.001598
3.175,-0.001592
3.178,-0.001587
3.181,-0.001582
3.184,-0.001576
3.187,-0.001571
3.19,-0.001566
3.193,-0.00156
3.196,-0.001555
3.199,-0.00155
3.202,-0.001545
3.205,-0.001539
3.208,-0.001534
3.211,-0.001529
3.214,-0.001524
3.217,-0.001519
3.22,-0.001514
3.223,-0.001509
3.226,-0.001503
3.229,-0.001498
3.232,-0.001493
3.235,-0.001488
3.238,-0.001483
3.241,-0.001478
3.244,-0.001473
3.247,-0.001468
3.25,-0.001463
3.253,-0.001459
3.256,-0.001454
3.259,-0.001449
3.262,-0.001444
3.265,-0.001439
3.268,-0.001434
3.271,-0.001429
3.274,-0.001424
3.277,-0.00142
3.28,-0.001415
3.283,-0.00141
3.286,-0.001405
3.289,-0.001401
3.292,-0.001396
3.295,-0.001391
3.298,-0.001387
3.301,-0.001382
3.304,-0.001377
3.307,-0.001373
3.31,-0.001368
3.313,-0.001363
3.316,-0.001359
3.319,-0.001354
3.322,-0.00135
3.325,-0.001345
3.328,-0.001341
3.331,-0.001336
3.334,-0.001332
3.337,-0.001327
3.34,-0.001323
3.343,-0.001318
3.346,-0.001314
3.349,-0.001309
3.352,-0.001305
3.355,-0.001301
3.358,-0.001296
3.361,-0.001292
3.364,-0.001287
3.367,-0.001283
3.37,-0.001279
3.373,-0.001274
3.376,-0.00127
3.379,-0.001266
3.382,-0.001262
3.385,-0.001257
3.388,-0.001253
3.391,-0.001249
3.394,-0.001245
3.397,-0.001241
3.4,-0.001236
3.403,-0.001232
3.406,-0.001228
3.409,-0.001224
3.412,-0.00122
3.415,-0.001216
3.418,-0.001212
3.421,-0.001208
3.424,-0.001204
3.427,-0.001199
3.43,-0.001195
3.433,-0.001191
3.436,-0.001187
3.439,-0.001183
3.442,-0.001179
3.445,-0.001175
3.448,-0.001171
3.451,-0.001168
3.454,-0.001164
3.457,-0.00116
3.46,-0.001156
3.463,-0.001152
3.466,-0.001148
3.469,-0.001144
3.472,-0.00114
3.475,-0.001137
3.478,-0.001133
3.481,-0.001129
3.484,-0.001125
3.487,-0.001121
3.49,-0.001118
3.493,-0.001114
3.496,-0.00111
3.499,-0.001106
3.502,-0.001103
3.505,-0.001099
3.508,-0.001095
3.511,-0.001091
3.514,-0.001088
3.517,-0.001084
3.52,-0.001081
3.523,-0.001077
3.526,-0.001073
3.529,-0.00107
3.532,-0.001066
3.535,-0.001062
3.538,-0.001059
3.541,-0.001055
3.544,-0.001052
3.547,-0.001048
3.55,-0.001045
3.553,-0.001041
3.556,-0.001038
3.559,-0.001034
3.562,-0.001031
3.565,-0.001027
3.568,-0.001024
3.571,-0.00102
3.574,-0.001017
3.577,-0.001014
3.58,-0.00101
3.583,-0.001007
3.586,-0.001003
3.589,-0.001
3.592,-0.000997
3.595,-0.000993
3.598,-0.00099
3.601,-0.000987
3.604,-0.000983
3.607,-0.00098
3.61,-0.000977
3.613,-0.000973
3.616,-0.00097
3.619,-0.000967
3.622,-0.000964
3.625,-0.00096
3.628,-0.000957
3.631,-0.000954
3.634,-0.000951
3.637,-0.000948
3.64,-0.000944
3.643,-0.000941
3.646,-0.000938
3.649,-0.000935
3.652,-0.000932
3.655,-0.000929
3.658,-0.000926
3.661,-0.000922
3.664,-0.000919
3.667,-0.000916
3.67,-0.000913
3.673,-0.00091
3.676,-0.000907
3.679,-0.000904
3.682,-0.000901
3.685,-0.000898
3.688,-0.000895
3.691,-0.000892
3.694,-0.000889
3.697,-0.000886
3.7,-0.000883
3.703,-0.00088
3.706,-0.000877
3.709,-0.000874
3.712,-0.000871
3.715,-0.000868
3.718,-0.000865
3.721,-0.000862
3.724,-0.00086
3.727,-0.000857
3.73,-0.000854
3.733,-0.000851
3.736,-0.000848
3.739,-0.000845
3.742,-0.000842
3.745,-0.00084
3.748,-0.000837
3.751,-0.000834
3.754,-0.000831
3.757,-0.000828
3.76,-0.000826
3.763,-0.000823
3.766,-0.00082
3.769,-0.000817
3.772,-0.000814
3.775,-0.000812
3.778,-0.000809
3.781,-0.000806
3.784,-0.000804
3.787,-0.000801
3.79,-0.000798
3.793,-0.000796
3.796,-0.000793
3.799,-0.00079
3.802,-0.000788
3.805,-0.000785
3.808,-0.000782
3.811,-0.00078
3.814,-0.000777
3.817,-0.000774
3.82,-0.000772
3.823,-0.000769
3.826,-0.000767
3.829,-0.000764
3.832,-0.000762
3.835,-0.000759
3.838,-0.000756
3.841,-0.000754
3.844,-0.000751
3.847,-0.000749
3.85,-0.000746
3.853,-0.000744
3.856,-0.000741
3.859,-0.000739
3.862,-0.000736
3.865,-0.000734
3.868,-0.000731
3.871,-0.000729
3.874,-0.000727
3.877,-0.000724
3.88,-0.000722
3.883,-0.000719
3.886,-0.000717
3.889,-0.000714
3.892,-0.000712
3.895,-0.00071
3.898,-0.000707
3.901,-0.000705
3.904,-0.000703
3.907,-0.0007
3.91,-0.000698
3.913,-0.000696
3.916,-0.000693
3.919,-0.000691
3.922,-0.000689
3.925,-0.000686
3.928,-0.000684
3.931,-0.000682
3.934,-0.000679
3.937,-0.000677
3.94,-0.000675
3.943,-0.000673
3.946,-0.00067
3.949,-0.000668
3.952,-0.000666
3.955,-0.000664
3.958,-0.000661
3.961,-0.000659
3.964,-0.000657
3.967,-0.000655
3.97,-0.000653
3.973,-0.00065
3.976,-0.000648
3.979,-0.000646
3.982,-0.000644
3.985,-0.000642
3.988,-0.00064
3.991,-0.000637
3.994,-0.000635
3.997,-0.000633
4.0,-0.000631
4.003,-0.000629
4.006,-0.000627
4.009,-0.000625
4.012,-0.000623
4.015,-0.00062
4.018,-0.000618
4.021,-0.000616
4.024,-0.000614
4.027,-0.000612
4.03,-0.00061
4.033,-0.000608
4.036,-0.000606
4.039,-0.000604
4.042,-0.000602
4.045,-0.0006
4.048,-0.000598
4.051,-0.000596
4.054,-0.000594
4.057,-0.000592
4.06,-0.00059
4.063,-0.000588
4.066,-0.000586
4.069,-0.000584
4.072,-0.000582
4.075,-0.00058
4.078,-0.000578
4.081,-0.000576
4.084,-0.000574
4.087,-0.000572
4.09,-0.000571
4.093,-0.000569
4.096,-0.000567
4.099,-0.000565
4.102,-0.000563
4.105,-0.000561
4.108,-0.000559
4.111,-0.000557
4.114,-0.000555
4.117,-0.000554
4.12,-0.000552
4.123,-0.00055
4.126,-0.000548
4.129,-0.000546
