Energy,r,wavef,radwave
-0.579689,1.618,-0.014372,-0.008883
-0.579689,1.621,-0.014355,-0.008856
-0.579689,1.624,-0.014339,-0.008829
-0.579689,1.627,-0.014322,-0.008803
-0.579689,1.63,-0.014305,-0.008776
-0.579689,1.633,-0.014288,-0.008749
-0.579689,1.636,-0.014271,-0.008723
-0.579689,1.639,-0.014254,-0.008697
-0.579689,1.642,-0.014236,-0.00867
-0.579689,1.645,-0.014219,-0.008644
-0.579689,1.648,-0.014202,-0.008618
-0.579689,1.651,-0.014184,-0.008591
-0.579689,1.654,-0.014167,-0.008565
-0.579689,1.657,-0.014149,-0.008539
-0.579689,1.66,-0.014132,-0.008513
-0.579689,1.663,-0.014114,-0.008487
-0.579689,1.666,-0.014096,-0.008461
-0.579689,1.669,-0.014078,-0.008435
-0.579689,1.672,-0.01406,-0.008409
-0.579689,1.675,-0.014042,-0.008384
-0.579689,1.678,-0.014024,-0.008358
-0.579689,1.681,-0.014006,-0.008332
-0.579689,1.684,-0.013988,-0.008306
-0.579689,1.687,-0.01397,-0.008281
-0.579689,1.69,-0.013952,-0.008255
-0.579689,1.693,-0.013933,-0.00823
-0.579689,1.696,-0.013915,-0.008205
-0.579689,1.699,-0.013896,-0.008179
-0.579689,1.702,-0.013878,-0.008154
-0.579689,1.705,-0.013859,-0.008129
-0.579689,1.708,-0.013841,-0.008103
-0.579689,1.711,-0.013822,-0.008078
-0.579689,1.714,-0.013803,-0.008053
-0.579689,1.717,-0.013784,-0.008028
-0.579689,1.72,-0.013766,-0.008003
-0.579689,1.723,-0.013747,-0.007978
-0.579689,1.726,-0.013728,-0.007953
-0.579689,1.729,-0.013709,-0.007929
-0.579689,1.732,-0.01369,-0.007904
-0.579689,1.735,-0.013671,-0.007879
-0.579689,1.738,-0.013651,-0.007855
-0.579689,1.741,-0.013632,-0.00783
-0.579689,1.744,-0.013613,-0.007806
-0.579689,1.747,-0.013594,-0.007781
-0.579689,1.75,-0.013574,-0.007757
-0.579689,1.753,-0.013555,-0.007732
-0.579689,1.756,-0.013536,-0.007708
-0.579689,1.759,-0.013516,-0.007684
-0.579689,1.762,-0.013497,-0.00766
-0.579689,1.765,-0.013477,-0.007636
-0.579689,1.768,-0.013457,-0.007612
-0.579689,1.771,-0.013438,-0.007588
-0.579689,1.774,-0.013418,-0.007564
-0.579689,1.777,-0.013398,-0.00754
-0.579689,1.78,-0.013379,-0.007516
-0.579689,1.783,-0.013359,-0.007492
-0.579689,1.786,-0.013339,-0.007469
-0.579689,1.789,-0.013319,-0.007445
-0.579689,1.792,-0.013299,-0.007422
-0.579689,1.795,-0.013279,-0.007398
-0.579689,1.798,-0.013259,-0.007375
-0.579689,1.801,-0.013239,-0.007351
-0.579689,1.804,-0.013219,-0.007328
-0.579689,1.807,-0.013199,-0.007305
-0.579689,1.81,-0.013179,-0.007281
-0.579689,1.813,-0.013159,-0.007258
-0.579689,1.816,-0.013139,-0.007235
-0.579689,1.819,-0.013119,-0.007212
-0.579689,1.822,-0.013099,-0.007189
-0.579689,1.825,-0.013078,-0.007166
-0.579689,1.828,-0.013058,-0.007143
-0.579689,1.831,-0.013038,-0.007121
-0.579689,1.834,-0.013017,-0.007098
-0.579689,1.837,-0.012997,-0.007075
-0.579689,1.84,-0.012977,-0.007053
-0.579689,1.843,-0.012956,-0.00703
-0.579689,1.846,-0.012936,-0.007008
-0.579689,1.849,-0.012915,-0.006985
-0.579689,1.852,-0.012895,-0.006963
-0.579689,1.855,-0.012874,-0.00694
-0.579689,1.858,-0.012854,-0.006918
-0.579689,1.861,-0.012833,-0.006896
-0.579689,1.864,-0.012813,-0.006874
-0.579689,1.867,-0.012792,-0.006852
